wind_supply (MWh),wind_demand (MWh),wind_price (INR),solar_supply (MWh),solar_demand (MWh),solar_price (INR),biogas_supply (MWh),biogas_demand (MWh),biogas_price (INR)
71,68,5.193401446700802,38,66,3.1154329282271425,52,50,4.771259391800207
34,83,3.8161226005832987,90,73,4.201600241909642,57,61,5.800020503869296
91,41,3.5432835892164714,91,81,2.957321010166865,78,9,5.697150967756718
80,22,5.0697827893277,100,95,3.257079095399462,66,56,4.873145639567695
40,46,3.6495932959938786,34,42,3.751927733316778,77,35,5.4130252649356345
94,78,5.477049334651843,44,94,3.6258278555813597,21,37,4.418118042850939
94,24,4.849592859203112,86,51,3.781213119612783,77,51,4.270222267454342
43,27,5.006899420484211,34,78,3.92697632887475,60,7,4.0042346755097045
22,77,3.991607712555732,49,48,3.9575399808265646,38,57,4.146650066021855
41,49,4.847730787839376,110,58,3.975115193643753,38,60,5.256651075596906
72,75,3.5864398745099146,33,46,4.483353560111908,22,22,5.770814235195296
21,68,5.1756514398472016,85,87,3.2131745432616103,66,32,5.955679498747289
49,22,3.839248186063145,114,60,2.5883727234320406,55,19,4.964938500729657
57,43,4.894716133667541,63,85,3.1977240287581443,29,54,4.280986149655175
21,55,3.948961002465457,69,66,4.3231518579296955,68,37,4.000291878781691
83,44,3.6369063388520857,98,57,2.6667777712819714,45,32,5.969777675935609
79,35,4.462987357098789,97,98,3.793884434381357,10,50,5.635661477632414
40,25,3.838572420545579,51,33,3.3463228652090597,12,5,5.047340260165008
52,16,4.9588879766530995,43,49,4.343145668532011,53,59,4.4911957144777945
95,64,3.9751316867669697,97,37,4.357146515481973,64,62,5.035431304719344
77,55,4.184945112471658,37,71,4.070489164325199,69,25,5.677093354691826
41,80,4.634878502528946,96,69,2.6970405829911863,12,60,5.11197372991465
68,17,4.069936555154623,75,29,2.549429914929815,72,21,5.9910198975645015
78,65,4.255976232419924,58,55,2.773180115798321,40,11,4.213451339056651
61,82,5.131243542080774,119,55,3.143647993800984,70,64,5.965055517940267
79,39,3.8584196991220514,41,95,2.9828637183949507,58,52,5.169291012244921
99,44,3.6644031789638674,108,65,3.2395183403244943,53,14,5.135896261342669
34,25,4.156715570266039,81,70,2.7861540521054344,61,45,4.718296645250653
81,31,4.3487535340277566,87,76,4.005006298227962,40,23,4.081809723417707
81,40,4.585318564273136,31,29,4.190593049928674,58,66,5.520888283017155
66,37,4.244847392350014,30,36,3.4759051066592574,55,12,4.551732945927769
81,70,5.07982340044561,84,45,4.4130534964334345,63,34,4.7000795293496465
70,66,3.5786389753369465,63,33,2.740688899870313,20,40,5.067410621369675
74,62,4.363535076397116,93,41,2.7116277862539,74,54,4.1139242876532
83,34,4.264511829312809,97,48,2.900798302321922,26,6,4.021581095397946
22,16,4.795156981613718,111,51,4.463825113367638,37,9,4.209879529499771
70,45,5.432552503794792,41,32,3.3329956236648783,18,50,5.4706989419186005
26,41,4.520750813257724,79,68,4.348211611078734,43,44,4.381083756475079
40,16,5.473753693883441,50,86,2.9040195084081875,29,61,5.028549404153279
92,18,4.104498789826395,39,53,4.1922062801619635,12,15,4.371804401796799
58,27,3.561736265084922,114,98,3.1200367394875466,10,42,4.569480193280123
37,49,3.8313263349528253,118,48,3.968798808398215,69,21,4.075838011786623
23,86,4.290249769549135,110,58,4.4489236332454745,59,30,4.732925380957386
79,80,4.132667818377104,99,84,4.366049287962204,17,43,4.272724089783043
33,20,3.6941082619667553,43,55,4.162656255959243,27,29,5.116245495342601
28,45,4.365320215381434,69,28,2.6004122390299464,39,34,5.672410564060323
72,24,4.176231543319125,111,33,3.715539763674212,31,50,5.756740450403133
21,35,3.7452384409148767,59,78,4.170896378222651,18,45,5.866733098391265
79,88,4.092234261223818,102,25,3.298653179614613,31,54,4.247791661617857
90,37,5.2728721107107805,43,85,3.962375897206287,19,48,5.032905204690147
63,17,4.104097730978681,81,97,2.7762263582689823,76,14,4.229520569043455
27,46,4.927910846484103,46,55,2.8535302111491516,18,6,4.612918505496896
66,34,4.724094159315511,91,69,3.7874189948244004,56,25,4.462650349139359
54,88,4.354362324816743,51,84,3.374222040475643,49,29,4.024907412366719
97,43,3.9780512736073383,82,97,2.9365025109485106,45,26,5.863658602336123
55,66,4.238029398691891,61,66,3.0657479785812694,28,15,5.563407075671264
69,60,4.684214426942086,105,51,3.73783728466883,11,48,5.037980847725626
23,48,4.20150642949871,84,82,3.9507415722270434,54,9,4.689747319383459
21,75,3.9297928671484637,109,93,2.9152283312148706,42,10,4.823191048874225
25,86,3.732925497783264,51,97,4.4103879605809695,73,20,4.410380767315035
73,85,5.25953387581913,67,58,2.516357413985367,35,50,5.936400885251636
23,84,4.380625951503811,79,34,3.900124546713922,43,28,4.570958294939832
73,25,4.75041664348586,95,90,3.08200129339894,72,18,4.149408898748462
82,77,4.48082072227361,74,49,3.457029179165432,37,28,5.128905960074194
37,35,5.245133036715927,37,27,3.6396940938943274,15,27,5.4975769709938
63,17,4.593869704896422,94,58,3.6230436691778833,20,43,5.942773369025099
53,24,4.461562835898227,69,95,4.052555381557456,55,10,5.243007068761367
93,41,5.349201980843425,34,52,4.14766163723716,29,25,4.368813211385923
81,26,4.939379192090709,74,33,2.6466987194427984,45,50,4.782193875176821
33,21,3.7230998146937146,75,35,3.906017828091759,25,45,4.63331133234749
67,31,3.855408922393628,65,63,3.2981149879097393,79,63,4.039061490549914
34,79,5.074245725878884,46,37,4.137178542389218,54,46,4.784353270606672
91,78,5.171702642359909,70,35,3.7177807423563247,57,63,5.5992398737451
97,40,4.590381658180593,59,59,2.520472862580955,13,39,4.810638399495612
81,29,4.6089104557332785,81,32,3.832930172737614,57,45,5.703560118245366
59,47,4.7638659257028895,108,31,4.351420481712469,76,69,5.485849989621727
99,76,4.378231548565279,49,93,2.6661938063613615,37,23,5.43870649197737
72,61,4.860398246967808,65,94,3.488461454827378,39,23,4.762095666190686
43,49,3.716962515132831,95,81,3.7517070128993684,38,29,4.106711556167556
45,79,5.422558484734773,74,59,2.8917271046114896,30,43,5.764877199962341
79,86,5.000309647589844,33,35,3.801383103266611,51,37,5.2765754014235
60,39,4.762348408018013,79,62,2.599596918508866,59,44,4.1810383272584195
48,71,4.132644114018961,117,73,4.3113585185592616,12,16,4.163124677312757
34,46,3.8219109749134583,84,59,4.025307696616463,74,34,5.228549230397639
64,77,4.3186859276578895,88,53,4.382046931121373,32,46,4.844420781348573
84,26,4.8231534811481165,71,65,3.336852847800598,14,18,4.381434838165934
90,77,4.767419486846222,31,30,2.568407685380752,34,9,4.478863541578179
28,15,4.265282310131143,75,34,3.183068175482087,44,40,4.771467420826833
20,65,4.726572787666259,31,47,3.5315030995118333,74,63,5.500419555935828
27,84,5.127496591135095,79,70,4.371743750089737,48,61,4.39394167429653
82,22,3.5525695446752144,30,36,4.266132973489062,27,64,5.40458235232946
30,82,4.401242095860551,42,79,3.6881435832134515,34,67,4.358078908191443
27,19,5.017110456933582,99,37,3.9595045042871426,10,53,5.527464467931811
54,53,4.592288940926754,51,98,4.407796584407379,71,69,5.8005071051446215
54,37,4.80295217585814,46,31,4.201183184923663,18,56,4.885573671930388
52,82,4.533352785210684,88,36,3.817638790075367,50,13,5.282648698516422
24,66,5.483749089364622,115,85,3.5801103138450694,31,20,4.532705492681945
60,18,3.6092430729780762,99,49,3.4520815237919464,75,39,5.8552777072353415
47,61,4.482089643544755,32,26,4.013219495269453,54,20,4.851749904542047
26,35,3.682833098229035,99,50,4.117546030371887,61,37,4.993395730343211
92,70,3.819571124227141,110,75,2.9352880040811047,29,55,4.522936678042833
91,80,4.266076700836524,78,93,3.44805022611454,21,65,4.388025352398412
31,73,3.811080183000975,79,86,4.042305378828804,73,63,4.454854311013153
53,21,5.4273743319133025,64,96,3.8514149963932387,41,8,4.951659886329138
52,63,5.393579553450318,52,97,3.6831536415395147,71,6,4.2752185583988
67,30,4.172219292441207,101,63,3.1474530540297287,14,62,4.7757595855356305
42,31,4.779495424075359,36,35,3.718437379205371,53,66,4.764069202294601
81,89,4.567506641187572,79,88,3.7242889421233936,38,29,4.866302049546688
56,48,5.1311739610315374,39,66,3.3648663285659426,42,29,4.843999330660463
63,47,4.754891219633884,119,34,4.420599441246626,22,30,4.548840105451893
54,40,3.5005049089811244,84,43,3.806242767165783,59,59,4.733609370750759
84,80,5.026348771219478,103,28,4.201394102651232,11,7,5.804728633496659
66,77,4.993696242592236,48,27,2.757916354805115,37,50,4.074944975511109
97,55,4.519445411132962,52,38,4.013559180048913,27,33,4.175570968376233
22,72,5.305837946466108,93,34,3.703738580866349,75,62,5.857689584964331
20,24,5.316892411380803,62,30,3.1165548367780858,55,15,4.542000495417555
24,29,4.547823353408795,95,55,2.7727242095340285,26,25,4.608351593584288
33,56,4.715976462393075,38,55,3.259294354427948,42,47,4.68816590751728
46,71,5.493044143849344,58,72,3.3827543344246305,42,8,4.206756579886976
28,31,4.097640469622835,108,33,2.7815252932814856,39,26,5.537964106111197
98,74,4.149234484622955,47,50,3.8402537744310985,31,10,4.326336606996506
34,23,3.865547805326993,111,26,3.1142193043024218,62,26,5.403509076731061
61,50,5.2917338783157355,100,28,4.112078900076438,55,20,4.465014948366147
96,87,4.9889767798985325,107,30,3.7966975545755863,53,40,5.364217868634326
70,50,3.711285697740484,58,54,3.1210048313228187,43,54,5.9437459091750195
82,62,5.463534702395931,112,79,3.220039228179637,37,62,5.019395101908593
71,65,4.961923416322232,90,52,4.384295123232784,44,55,4.637825288025064
23,84,5.201044219209949,34,85,4.396239041077306,77,51,4.755949902571431
42,88,3.596301578346402,98,79,3.336741676438036,18,57,4.767847981606978
34,82,4.5099218378843355,85,60,3.8583401585265777,31,10,4.250664837622672
62,36,4.897196573454078,81,98,4.459944358495933,70,29,5.637590207700028
48,20,4.585893169143683,44,98,4.488102587251936,34,7,4.758463186911563
55,40,4.833294931398555,119,29,2.6442684514051638,50,17,5.435787837791702
32,89,5.135748127180945,117,53,3.6069982766368796,16,57,4.5407594586352396
